Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,432.200012,436.450012,422.850006,425.399994,425.399994,524326
2018-01-02,429.700012,440.200012,422.100006,438.850006,438.850006,1316818
2018-01-03,439.500000,441.450012,432.250000,433.200012,433.200012,526955
2018-01-04,430.000000,433.000000,426.049988,429.700012,429.700012,430531
2018-01-05,432.000000,436.299988,430.100006,430.799988,430.799988,358825
2018-01-08,433.700012,436.399994,431.799988,433.700012,433.700012,377823
2018-01-09,434.750000,443.549988,433.350006,436.549988,436.549988,611751
2018-01-10,438.850006,439.399994,431.500000,432.500000,432.500000,308664
2018-01-11,432.549988,437.500000,432.549988,434.450012,434.450012,199587
2018-01-12,438.299988,440.899994,432.149994,436.149994,436.149994,338549
2018-01-15,438.700012,439.899994,430.299988,431.750000,431.750000,221532
2018-01-16,432.000000,435.299988,420.000000,421.799988,421.799988,437771
2018-01-17,422.850006,425.000000,410.799988,422.750000,422.750000,2714535
2018-01-18,422.350006,427.750000,414.799988,418.799988,418.799988,439932
2018-01-19,419.750000,421.899994,415.200012,418.950012,418.950012,239133
2018-01-22,419.000000,424.200012,418.649994,421.549988,421.549988,156097
2018-01-23,422.100006,422.100006,414.750000,418.049988,418.049988,365515
2018-01-24,417.750000,417.750000,402.500000,403.600006,403.600006,765278
2018-01-25,402.250000,408.000000,399.000000,400.200012,400.200012,559942
2018-01-29,401.149994,406.000000,398.049988,399.299988,399.299988,335015
2018-01-30,399.100006,402.200012,395.299988,396.200012,396.200012,407917
2018-01-31,396.200012,401.000000,395.750000,399.250000,399.250000,348600
2018-02-01,401.000000,403.850006,391.049988,394.649994,394.649994,551822
2018-02-02,391.000000,397.250000,381.649994,384.049988,384.049988,649423
2018-02-05,381.649994,398.399994,380.450012,396.049988,396.049988,723112
2018-02-06,368.000000,379.600006,357.000000,374.450012,374.450012,2009877
2018-02-07,388.000000,388.000000,375.299988,377.500000,377.500000,1890021
2018-02-08,381.000000,381.000000,372.700012,374.850006,374.850006,1041768
2018-02-09,370.000000,373.100006,368.500000,369.200012,369.200012,614888
2018-02-12,372.000000,376.250000,370.350006,372.450012,372.450012,469444
2018-02-14,373.899994,382.399994,371.200012,376.850006,376.850006,600577
2018-02-15,379.000000,382.399994,373.850006,376.149994,376.149994,585612
2018-02-16,377.250000,379.399994,368.299988,370.549988,370.549988,500663
2018-02-19,371.950012,374.000000,363.500000,367.750000,367.750000,431513
2018-02-20,370.000000,370.700012,366.500000,368.899994,368.899994,228993
2018-02-21,370.299988,374.000000,363.000000,364.350006,364.350006,454904
2018-02-22,364.000000,364.000000,357.899994,358.549988,358.549988,451987
2018-02-23,357.549988,364.500000,357.549988,360.450012,360.450012,486548
