Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,180.072998,183.041000,176.759003,181.854004,176.542831,1901735
2012-01-03,184.080002,192.539993,184.080002,191.847000,186.243988,2470251
2012-01-04,191.056000,199.860992,191.056000,198.328003,192.535706,3652703
2012-01-05,198.673996,203.423004,198.031006,199.416000,193.591934,2986223
2012-01-06,197.388000,202.483002,196.250000,200.998993,195.128693,2177172
2012-01-07,null,null,null,null,null,null
2012-01-09,199.860992,200.455002,196.052002,198.328003,192.535706,2063714
2012-01-10,199.169006,204.065994,198.970993,202.779999,196.857681,2094683
2012-01-11,203.869003,205.203995,199.613998,202.483002,196.569351,2102212
2012-01-12,201.839996,207.380997,200.850998,204.065994,198.106110,1628951
2012-01-13,208.074005,210.744995,204.363007,206.589005,200.555435,2873414
2012-01-16,203.720001,212.625000,201.740997,211.141006,204.974487,2568123
2012-01-17,215.197006,219.106003,213.862000,215.000000,208.720795,3570453
2012-01-18,215.147995,217.473007,210.300003,211.537003,205.358917,1771926
2012-01-19,214.009995,217.671005,214.009995,216.235992,209.920670,1644415
2012-01-20,217.175995,218.660004,213.416000,216.582993,210.257538,1550111
2012-01-23,218.214996,220.886993,215.246994,216.582993,210.257538,1550318
2012-01-24,216.682007,221.925003,214.207993,219.699005,213.282547,2234358
2012-01-25,220.639008,231.175995,220.194000,228.009995,221.350815,2983926
2012-01-27,231.522995,238.350006,230.087997,237.360001,230.427750,3526750
2012-01-30,235.479996,236.074005,229.048996,231.621994,224.857330,2022993
2012-01-31,233.403000,242.207993,232.809006,241.020996,233.981827,1795739
2012-02-01,242.207993,248.541000,241.020996,245.919006,238.736786,5018009
2012-02-02,250.024994,250.024994,242.158997,243.494995,236.383575,2817749
2012-02-03,243.889999,247.352997,238.052994,245.324997,238.160126,2025821
2012-02-06,247.947006,250.322006,242.949997,248.391998,241.137558,2639085
2012-02-07,251.311005,252.201004,245.671005,247.600998,240.369644,2894193
2012-02-08,249.332001,250.569000,242.850998,248.046005,240.801666,1987207
2012-02-09,245.373993,255.565002,245.373993,254.427994,246.997269,2311961
2012-02-10,253.190994,259.028015,252.548004,254.378006,246.948730,1445552
2012-02-13,255.268997,257.890991,251.162994,255.516006,248.053497,2229133
2012-02-14,256.752991,269.515991,256.109985,265.063995,257.322632,4042916
2012-02-15,275.303986,288.908997,275.057007,283.368011,275.092072,5717375
2012-02-16,280.003998,281.339996,271.296997,272.979004,265.006470,2356344
2012-02-17,278.024994,280.350006,268.377991,271.000000,263.085266,2650822
2012-02-21,273.078003,273.078003,266.845001,268.329010,260.492279,2467660
2012-02-22,270.109985,273.078003,262.195007,264.915009,257.178009,2831474
2012-02-23,264.470001,270.802002,262.787994,265.608002,257.850739,1746243
2012-02-24,266.993011,268.674988,260.315002,262.589996,254.920898,999991
2012-02-27,263.579987,263.975006,252.647003,257.296997,249.782471,1690349
2012-02-28,260.066986,272.088989,259.226013,269.764008,261.885376,2421448
2012-02-29,273.325012,275.651001,264.618988,267.933014,260.107849,1630115
2012-03-01,266.894012,271.049988,263.183990,264.816010,257.081909,1518150
2012-03-02,266.300995,269.020996,261.847992,264.618988,256.890625,1173065
2012-03-03,null,null,null,null,null,null
2012-03-05,264.173004,272.286987,263.282990,270.554993,262.653229,2165716
2012-03-06,271.000000,275.651001,260.216003,263.183990,255.497528,1274554
2012-03-07,262.045990,266.845001,259.622009,265.162994,257.418732,1079542
2012-03-09,268.824005,278.024994,268.824005,276.243988,268.176117,1546313
2012-03-12,279.113007,281.983002,274.117004,280.498993,272.306854,1202427
2012-03-13,282.773987,284.158997,279.311005,279.904999,271.730194,1081102
2012-03-14,283.764008,288.562012,282.773987,286.039001,277.685059,1706991
2012-03-15,285.940002,291.036011,281.240997,286.335999,277.973389,2228530
2012-03-16,284.455994,294.102997,279.558990,283.665009,275.380371,2697834
2012-03-19,284.704010,289.303986,278.321991,280.548004,272.354401,942062
2012-03-20,281.042999,282.872986,266.845001,268.725006,260.876740,1746042
2012-03-21,268.131012,274.760010,261.451996,273.325012,265.342377,2359400
2012-03-22,271.098999,279.162994,265.261993,267.389008,259.579742,1848902
2012-03-23,268.824005,272.583008,264.766998,270.059998,262.172729,1048589
2012-03-26,270.506012,270.506012,263.529999,265.261993,257.514832,976970
2012-03-27,269.467010,272.385010,263.282990,269.713989,261.836853,1392854
2012-03-28,269.119995,269.566010,265.558990,268.377991,260.539825,1123454
2012-03-29,266.894012,270.209015,264.420990,269.071014,261.212616,920893
2012-03-30,270.653992,273.572998,269.862000,272.781006,264.814240,2009063
2012-04-02,277.036011,278.024994,272.434998,273.473999,265.487000,1763632
2012-04-03,274.958008,278.024994,272.335999,277.135010,269.041107,2081240
2012-04-04,276.342987,278.519989,274.117004,275.204987,267.167450,734950
2012-04-09,273.671997,275.847992,270.950989,272.830994,264.862793,500493
2012-04-10,272.583008,281.488007,272.484009,280.597992,272.402924,1432570
2012-04-11,278.024994,283.220001,277.778015,279.360992,271.202087,1516392
2012-04-12,281.983002,283.962006,280.944000,282.279999,274.035797,1116060
2012-04-13,284.455994,291.135010,284.209015,286.039001,277.685059,1295402
2012-04-16,286.584015,298.605011,283.764008,297.220001,288.539490,2106552
2012-04-17,298.851990,301.572998,293.312012,298.259003,289.548187,1877837
2012-04-18,300.286987,307.360992,300.286987,306.321991,297.375641,1444507
2012-04-19,307.609009,316.612000,306.372009,315.968994,306.740906,2274604
2012-04-20,314.385986,317.205994,309.191986,313.346985,304.195465,1594235
2012-04-23,312.556000,316.513000,305.234009,306.471008,297.520294,1031713
2012-04-24,306.669006,310.873993,305.729004,308.351013,299.345367,921373
2012-04-25,309.438995,311.665009,305.630005,310.527008,301.457886,1374586
2012-04-26,312.654999,312.654999,306.816986,308.647003,299.632782,693914
2012-04-27,309.290985,310.428009,304.739014,309.092987,300.065735,599407
