Date,Open,High,Low,Close,Adj Close,Volume
2019-11-20,168.000000,170.199997,166.399994,167.250000,167.250000,1505118
2019-11-21,167.949997,170.100006,163.050003,164.199997,164.199997,1608999
2019-11-22,165.199997,165.199997,160.600006,162.300003,162.300003,1461271
2019-11-25,161.750000,166.399994,160.000000,166.050003,166.050003,2141645
2019-11-26,166.300003,167.250000,162.550003,163.800003,163.800003,2047761
2019-11-27,165.800003,169.250000,165.000000,165.750000,165.750000,1995979
2019-11-28,166.350006,166.350006,163.550003,164.800003,164.800003,1143389
2019-11-29,164.550003,167.699997,160.800003,161.449997,161.449997,1435477
2019-12-02,161.000000,163.050003,158.949997,161.000000,161.000000,1001550
2019-12-03,162.699997,162.949997,157.449997,158.149994,158.149994,1348314
2019-12-04,158.600006,170.399994,157.899994,169.399994,169.399994,3793325
2019-12-05,170.600006,172.199997,165.300003,166.100006,166.100006,2307039
2019-12-06,167.899994,168.000000,160.050003,161.500000,161.500000,1772914
2019-12-09,162.500000,166.399994,159.850006,160.550003,160.550003,2056906
2019-12-10,162.199997,163.250000,159.000000,159.649994,159.649994,1436571
2019-12-11,160.800003,162.899994,157.449997,161.750000,161.750000,1178921
2019-12-12,163.550003,174.949997,162.699997,173.350006,173.350006,3442273
2019-12-13,177.000000,183.899994,175.500000,176.649994,176.649994,4955131
2019-12-16,177.800003,178.699997,173.300003,174.899994,174.899994,1320147
2019-12-17,176.100006,181.199997,175.399994,180.199997,180.199997,2120189
2019-12-18,181.449997,184.500000,170.500000,174.699997,174.699997,3471732
2019-12-19,174.050003,179.949997,174.050003,179.149994,179.149994,2665639
2019-12-20,180.500000,181.649994,174.899994,176.000000,176.000000,1491242
2019-12-23,176.649994,178.949997,174.300003,176.050003,176.050003,1364591
2019-12-24,177.649994,177.899994,174.699997,175.500000,175.500000,1055882
2019-12-26,176.000000,176.350006,174.100006,174.600006,174.600006,714360
2019-12-27,175.500000,176.949997,174.949997,176.100006,176.100006,500007
2019-12-30,177.500000,184.250000,176.449997,183.600006,183.600006,1976823
2019-12-31,184.100006,187.899994,181.550003,185.100006,185.100006,2633656
2020-01-01,185.850006,186.699997,183.750000,184.399994,184.399994,1461450
2020-01-02,187.399994,194.600006,184.800003,193.850006,193.850006,2638338
2020-01-03,193.699997,195.600006,189.399994,191.050003,191.050003,2105309
2020-01-06,191.000000,191.000000,185.000000,185.600006,185.600006,1703112
2020-01-07,187.500000,189.399994,182.300003,184.750000,184.750000,1825796
2020-01-08,180.449997,184.050003,180.300003,182.600006,182.600006,988610
2020-01-09,185.449997,192.800003,184.399994,192.050003,192.050003,1797437
2020-01-10,192.550003,199.000000,190.000000,196.399994,196.399994,2505329
2020-01-13,194.699997,197.800003,191.600006,196.250000,196.250000,1413069
2020-01-14,196.000000,198.100006,193.699997,195.750000,195.750000,1383757
2020-01-15,195.000000,201.800003,194.000000,200.300003,200.300003,1850446
2020-01-16,199.949997,200.600006,196.899994,197.500000,197.500000,1103669
2020-01-17,198.149994,199.449997,195.850006,197.250000,197.250000,804157
2020-01-20,198.199997,201.449997,194.300003,195.050003,195.050003,1343246
2020-01-21,195.800003,196.500000,190.100006,191.449997,191.449997,874312
2020-01-22,192.100006,192.600006,184.250000,185.550003,185.550003,1480430
2020-01-23,186.100006,190.350006,183.899994,188.399994,188.399994,1612956
2020-01-24,188.399994,190.949997,185.149994,186.449997,186.449997,964477
2020-01-27,185.899994,186.899994,180.949997,182.250000,182.250000,1295555
2020-01-28,183.449997,184.300003,174.850006,176.100006,176.100006,1602770
2020-01-29,178.149994,188.800003,178.149994,188.050003,188.050003,2478539
2020-01-30,191.050003,192.500000,184.350006,186.199997,186.199997,3017661
2020-01-31,186.899994,188.300003,176.000000,176.600006,176.600006,3091501
2020-02-03,164.000000,168.149994,159.600006,163.850006,163.850006,2751952
2020-02-04,166.699997,168.500000,161.300003,165.699997,165.699997,2074475
